_id,abrasion,brand,certifications,cleaningCode,colors,content.polyester,fabric,finish,horizontalRepeat,image,leadTime,moq,origin,pattern,patternType,price,railRoaded,sku,theme,use,verticalRepeat,width
644085a13fa8c86a031f5cb0,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30121.2/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",burnout,0,0,"""30121""",Mystic,curtain,0,300
644085a13fa8c86a031f5cb1,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30120.1/1_MidSize.jpg,3,100,Türkiye,"[""ornate""]",burnout,0,0,"""30120""",Mystic,curtain,0,300
644085a13fa8c86a031f5cb2,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30119.1/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",burnout,0,0,"""30119""",Mystic,curtain,0,300
644085a13fa8c86a031f5cb3,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30118.4/1_MidSize.jpg,3,100,Türkiye,"[""ornate""]",burnout,0,0,"""30118""",Mystic,curtain,0,300
644085a13fa8c86a031f5cb4,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30115.1/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",burnout,0,0,"""30115""",Mystic,curtain,0,300
644085a13fa8c86a031f5cb5,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30114.1/1_MidSize.jpg,3,100,Türkiye,"[""kids""]",burnout,0,0,"""30114""",Mystic,curtain,0,300
644085a13fa8c86a031f5cb6,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30112.1/1_MidSize.jpg,3,100,Türkiye,"[""kids""]",burnout,0,0,"""30112""",Mystic,curtain,0,300
644085a13fa8c86a031f5cb7,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30110.1/1_MidSize.jpg,3,100,Türkiye,"[""kids""]",burnout,0,0,"""30110""",Mystic,curtain,0,300
644085a13fa8c86a031f5cb8,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30109.14/1_MidSize.jpg,3,100,Türkiye,"[""kids""]",burnout,0,0,"""30109""",Mystic,curtain,0,300
644085a13fa8c86a031f5cb9,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30106.24/1_MidSize.jpg,3,100,Türkiye,"[""kids""]",burnout,0,0,"""30106""",Mystic,curtain,0,300
644085a13fa8c86a031f5cba,0,Kismet,[],W,['red'],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3005.290.10186.12/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""10186""",Grand,curtain,0,300
644085a13fa8c86a031f5cbb,0,Kismet,[],W,['blue'],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3005.300.10185.5/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""10185""",Grand,curtain,0,300
644085a13fa8c86a031f5cbc,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3006.300.380001.2/1_MidSize.jpg,3,100,Türkiye,"[""classic""]",embroidery,0,0,"""380001""",Grand,curtain,0,300
644085a13fa8c86a031f5cbd,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.300.3916.1/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""3916""",Grand,curtain,0,300
644085a13fa8c86a031f5cbe,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3078.320.540002.V3/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""540002""",Grand,curtain,0,300
644085a13fa8c86a031f5cbf,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3124.290.2608.16/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""2608""",Grand,curtain,0,300
644085a13fa8c86a031f5cc0,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3078.290.12018.3/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""12018""",Grand,curtain,0,300
644085a13fa8c86a031f5cc1,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3124.290.2607.30/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""2607""",Grand,curtain,0,300
644085a13fa8c86a031f5cc2,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3078.320.540001.V3/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""540001""",Grand,curtain,0,300
644085a13fa8c86a031f5cc3,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3111.330.2081.13/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""2081""",Grand,curtain,0,300
644085a13fa8c86a031f5cc4,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3107.290.370548.103/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""370548""",Grand,curtain,0,300
644085a13fa8c86a031f5cc5,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.30553.9/1_MidSize.jpg,3,100,Türkiye,"[""ornate""]",,0,0,"""30553""",Grand,curtain,0,300
644085a13fa8c86a031f5cc6,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.30551.4/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""30551""",Grand,curtain,0,300
644085a13fa8c86a031f5cc7,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.30547.8/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""30547""",Grand,curtain,0,300
644085a13fa8c86a031f5cc8,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.30460.6/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""30460""",Grand,curtain,0,300
644085a13fa8c86a031f5cc9,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3116.320.21208.8/1_MidSize.jpg,3,100,Türkiye,"[""classic""]",embroidery,0,0,"""21208""",Grand,curtain,0,300
644085a13fa8c86a031f5cca,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3116.320.21207.4/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""21207""",Grand,curtain,0,300
644085a13fa8c86a031f5ccb,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3124.290.2601.5/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""2601""",Grand,curtain,0,300
644085a13fa8c86a031f5ccc,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3107.300.370598.119/2_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""370598""",Grand,curtain,0,300
644085a13fa8c86a031f5ccd,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3107.300.370594.15/1_MidSize.jpg,3,100,Türkiye,"[""polkadot""]",,0,0,"""370594""",Grand,curtain,0,300
644085a13fa8c86a031f5cce,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3107.290.370459.9/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""370459""",Grand,curtain,0,300
644085a13fa8c86a031f5ccf,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3107.290.370445.10/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""370445""",Grand,curtain,0,300
644085a13fa8c86a031f5cd0,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3061.290.9201.16/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""9201""",Grand,curtain,0,300
644085a13fa8c86a031f5cd1,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.300.890045.2/1_MidSize.jpg,3,100,Türkiye,"[""solid""]",,0,0,"""890045""",Grand,curtain,0,300
644085a13fa8c86a031f5cd2,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3079.300.600003.2/1_MidSize.jpg,3,100,Türkiye,"[""solid""]",,0,0,"""600003""",Grand,curtain,0,300
644085a13fa8c86a031f5cd3,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3116.320.21206.4/1_MidSize.jpg,3,100,Türkiye,"[""classic""]",embroidery,0,0,"""21206""",Grand,curtain,0,300
644085a13fa8c86a031f5cd4,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3116.320.21205.1/1_MidSize.jpg,3,100,Türkiye,"[""classic""]",embroidery,0,0,"""21205""",Grand,curtain,0,300
644085a13fa8c86a031f5cd5,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3123.290.5014.3021/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""5014""",Grand,curtain,0,300
644085a13fa8c86a031f5cd6,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3107.300.370550.401/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""370550""",Grand,curtain,0,300
644085a13fa8c86a031f5cd7,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21099.1/1_MidSize.jpg,3,100,Türkiye,"[""polkadot"",""hstripe""]",,0,0,"""21099""",Grand,curtain,0,300
644085a13fa8c86a031f5cd8,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21096.3/1_MidSize.jpg,3,100,Türkiye,"[""polkadot"",""hstripe""]",,0,0,"""21096""",Grand,curtain,0,300
