_id,abrasion,brand,certifications,cleaningCode,colors,content.polyester,fabric,finish,horizontalRepeat,image,leadTime,moq,origin,pattern,patternType,price,railRoaded,sku,theme,use,verticalRepeat,width
644088733fa8c86a031f5f7b,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30121.2/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",burnout,0,0,30121,Mystic,curtain,0,300
644088733fa8c86a031f5f7c,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30120.1/1_MidSize.jpg,3,100,Türkiye,"[""ornate""]",burnout,0,0,30120,Mystic,curtain,0,300
644088733fa8c86a031f5f7d,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30119.1/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",burnout,0,0,30119,Mystic,curtain,0,300
644088733fa8c86a031f5f7e,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30118.4/1_MidSize.jpg,3,100,Türkiye,"[""ornate""]",burnout,0,0,30118,Mystic,curtain,0,300
644088733fa8c86a031f5f7f,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30115.1/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",burnout,0,0,30115,Mystic,curtain,0,300
644088733fa8c86a031f5f80,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30114.1/1_MidSize.jpg,3,100,Türkiye,"[""kids""]",burnout,0,0,30114,Mystic,curtain,0,300
644088733fa8c86a031f5f81,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30112.1/1_MidSize.jpg,3,100,Türkiye,"[""kids""]",burnout,0,0,30112,Mystic,curtain,0,300
644088733fa8c86a031f5f82,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30110.1/1_MidSize.jpg,3,100,Türkiye,"[""kids""]",burnout,0,0,30110,Mystic,curtain,0,300
644088733fa8c86a031f5f83,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30109.14/1_MidSize.jpg,3,100,Türkiye,"[""kids""]",burnout,0,0,30109,Mystic,curtain,0,300
644088733fa8c86a031f5f84,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/2001.300.30106.24/1_MidSize.jpg,3,100,Türkiye,"[""kids""]",burnout,0,0,30106,Mystic,curtain,0,300
644088733fa8c86a031f5f85,0,Kismet,[],W,"['red']",100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3005.290.10186.12/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,10186,Grand,curtain,0,300
644088733fa8c86a031f5f86,0,Kismet,[],W,"['blue']",100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3005.300.10185.5/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,10185,Grand,curtain,0,300
644088733fa8c86a031f5f87,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3006.300.380001.2/1_MidSize.jpg,3,100,Türkiye,"[""classic""]",embroidery,0,0,380001,Grand,curtain,0,300
644088733fa8c86a031f5f88,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.300.3916.1/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,3916,Grand,curtain,0,300
644088733fa8c86a031f5f89,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3078.320.540002.V3/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,540002,Grand,curtain,0,300
644088733fa8c86a031f5f8a,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3124.290.2608.16/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,2608,Grand,curtain,0,300
644088733fa8c86a031f5f8b,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3078.290.12018.3/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,12018,Grand,curtain,0,300
644088733fa8c86a031f5f8c,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3124.290.2607.30/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,2607,Grand,curtain,0,300
644088733fa8c86a031f5f8d,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3078.320.540001.V3/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,540001,Grand,curtain,0,300
644088733fa8c86a031f5f8e,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3111.330.2081.13/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,2081,Grand,curtain,0,300
644088733fa8c86a031f5f8f,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3107.290.370548.103/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,370548,Grand,curtain,0,300
644088733fa8c86a031f5f90,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.30553.9/1_MidSize.jpg,3,100,Türkiye,"[""ornate""]",,0,0,30553,Grand,curtain,0,300
644088733fa8c86a031f5f91,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.30551.4/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,30551,Grand,curtain,0,300
